Latitude,Longitude,Rainfall
6.5,95.0,
6.5,95.25,
6.5,95.5,
6.5,95.75,
6.5,96.0,
6.5,96.25,
6.5,96.5,
6.5,96.75,
6.5,97.0,
6.5,97.25,
6.5,97.5,
6.5,97.75,
6.5,98.0,
6.5,98.25,
6.5,98.5,
6.5,98.75,
6.5,99.0,
6.5,99.25,
6.5,99.5,
6.5,99.75,
6.5,100.0,
6.75,66.5,
6.75,66.75,
6.75,67.0,
6.75,67.25,
6.75,67.5,
6.75,67.75,
6.75,68.0,
6.75,68.25,
6.75,68.5,
6.75,68.75,
6.75,69.0,
6.75,69.25,
6.75,69.5,
6.75,69.75,
6.75,70.0,
6.75,70.25,
6.75,70.5,
6.75,70.75,
6.75,71.0,
6.75,71.25,
6.75,71.5,
6.75,71.75,
6.75,72.0,
6.75,72.25,
6.75,72.5,
6.75,72.75,
6.75,73.0,
6.75,73.25,
6.75,73.5,
6.75,73.75,
6.75,74.0,
6.75,74.25,
6.75,74.5,
6.75,74.75,
6.75,75.0,
6.75,75.25,
6.75,75.5,
6.75,75.75,
6.75,76.0,
6.75,76.25,
6.75,76.5,
6.75,76.75,
6.75,77.0,
6.75,77.25,
6.75,77.5,
6.75,77.75,
6.75,78.0,
6.75,78.25,
6.75,78.5,
6.75,78.75,
6.75,79.0,
6.75,79.25,
6.75,79.5,
6.75,79.75,
6.75,80.0,
6.75,80.25,
6.75,80.5,
6.75,80.75,
6.75,81.0,
6.75,81.25,
6.75,81.5,
6.75,81.75,
6.75,82.0,
6.75,82.25,
6.75,82.5,
6.75,82.75,
6.75,83.0,
6.75,83.25,
6.75,83.5,
6.75,83.75,
6.75,84.0,
6.75,84.25,
6.75,84.5,
6.75,84.75,
6.75,85.0,
6.75,85.25,
6.75,85.5,
6.75,85.75,
6.75,86.0,
6.75,86.25,
6.75,86.5,
6.75,86.75,
6.75,87.0,
6.75,87.25,
6.75,87.5,
6.75,87.75,
6.75,88.0,
6.75,88.25,
6.75,88.5,
6.75,88.75,
6.75,89.0,
6.75,89.25,
6.75,89.5,
6.75,89.75,
6.75,90.0,
6.75,90.25,
6.75,90.5,
6.75,90.75,
6.75,91.0,
6.75,91.25,
6.75,91.5,
6.75,91.75,
6.75,92.0,
6.75,92.25,
6.75,92.5,
6.75,92.75,
6.75,93.0,
6.75,93.25,
6.75,93.5,
6.75,93.75,
6.75,94.0,
6.75,94.25,
6.75,94.5,
6.75,94.75,
6.75,95.0,
6.75,95.25,
6.75,95.5,
6.75,95.75,
6.75,96.0,
6.75,96.25,
6.75,96.5,
6.75,96.75,
6.75,97.0,
6.75,97.25,
6.75,97.5,
6.75,97.75,
6.75,98.0,
6.75,98.25,
6.75,98.5,
6.75,98.75,
6.75,99.0,
6.75,99.25,
6.75,99.5,
6.75,99.75,
6.75,100.0,
7.0,66.5,
7.0,66.75,
7.0,67.0,
7.0,67.25,
7.0,67.5,
7.0,67.75,
7.0,68.0,
7.0,68.25,
7.0,68.5,
7.0,68.75,
7.0,69.0,
7.0,69.25,
7.0,69.5,
7.0,69.75,
7.0,70.0,
7.0,70.25,
7.0,70.5,
7.0,70.75,
7.0,71.0,
7.0,71.25,
7.0,71.5,
7.0,71.75,
7.0,72.0,
7.0,72.25,
7.0,72.5,
7.0,72.75,
7.0,73.0,
7.0,73.25,
7.0,73.5,
7.0,73.75,
7.0,74.0,
7.0,74.25,
7.0,74.5,
7.0,74.75,
7.0,75.0,
7.0,75.25,
7.0,75.5,
7.0,75.75,
7.0,76.0,
7.0,76.25,
7.0,76.5,
7.0,76.75,
7.0,77.0,
7.0,77.25,
7.0,77.5,
7.0,77.75,
7.0,78.0,
7.0,78.25,
7.0,78.5,
7.0,78.75,
7.0,79.0,
7.0,79.25,
7.0,79.5,
7.0,79.75,
7.0,80.0,
7.0,80.25,
7.0,80.5,
7.0,80.75,
7.0,81.0,
7.0,81.25,
7.0,81.5,
7.0,81.75,
7.0,82.0,
7.0,82.25,
7.0,82.5,
7.0,82.75,
7.0,83.0,
7.0,83.25,
7.0,83.5,
7.0,83.75,
7.0,84.0,
7.0,84.25,
7.0,84.5,
7.0,84.75,
7.0,85.0,
7.0,85.25,
7.0,85.5,
7.0,85.75,
7.0,86.0,
7.0,86.25,
7.0,86.5,
7.0,86.75,
7.0,87.0,
7.0,87.25,
7.0,87.5,
7.0,87.75,
7.0,88.0,
7.0,88.25,
7.0,88.5,
7.0,88.75,
7.0,89.0,
7.0,89.25,
7.0,89.5,
7.0,89.75,
7.0,90.0,
7.0,90.25,
7.0,90.5,
7.0,90.75,
7.0,91.0,
7.0,91.25,
7.0,91.5,
7.0,91.75,
7.0,92.0,
7.0,92.25,
7.0,92.5,
7.0,92.75,
7.0,93.0,
7.0,93.25,
7.0,93.5,
7.0,93.75,
7.0,94.0,
7.0,94.25,
7.0,94.5,
7.0,94.75,
7.0,95.0,
7.0,95.25,
7.0,95.5,
7.0,95.75,
7.0,96.0,
7.0,96.25,
7.0,96.5,
7.0,96.75,
7.0,97.0,
7.0,97.25,
7.0,97.5,
7.0,97.75,
7.0,98.0,
7.0,98.25,
7.0,98.5,
7.0,98.75,
7.0,99.0,
7.0,99.25,
7.0,99.5,
7.0,99.75,
7.0,100.0,
7.25,66.5,
7.25,66.75,
7.25,67.0,
7.25,67.25,
7.25,67.5,
7.25,67.75,
7.25,68.0,
7.25,68.25,
7.25,68.5,
7.25,68.75,
7.25,69.0,
7.25,69.25,
7.25,69.5,
7.25,69.75,
7.25,70.0,
7.25,70.25,
7.25,70.5,
7.25,70.75,
7.25,71.0,
7.25,71.25,
7.25,71.5,
7.25,71.75,
7.25,72.0,
7.25,72.25,
7.25,72.5,
7.25,72.75,
7.25,73.0,
7.25,73.25,
7.25,73.5,
7.25,73.75,
7.25,74.0,
7.25,74.25,
7.25,74.5,
7.25,74.75,
7.25,75.0,
7.25,75.25,
7.25,75.5,
7.25,75.75,
7.25,76.0,
7.25,76.25,
7.25,76.5,
7.25,76.75,
7.25,77.0,
7.25,77.25,
7.25,77.5,
7.25,77.75,
7.25,78.0,
7.25,78.25,
7.25,78.5,
7.25,78.75,
7.25,79.0,
7.25,79.25,
7.25,79.5,
7.25,79.75,
7.25,80.0,
7.25,80.25,
7.25,80.5,
7.25,80.75,
7.25,81.0,
7.25,81.25,
7.25,81.5,
7.25,81.75,
7.25,82.0,
7.25,82.25,
7.25,82.5,
7.25,82.75,
7.25,83.0,
7.25,83.25,
7.25,83.5,
7.25,83.75,
7.25,84.0,
7.25,84.25,
7.25,84.5,
7.25,84.75,
7.25,85.0,
7.25,85.25,
7.25,85.5,
7.25,85.75,
7.25,86.0,
7.25,86.25,
7.25,86.5,
7.25,86.75,
7.25,87.0,
7.25,87.25,
7.25,87.5,
7.25,87.75,
7.25,88.0,
7.25,88.25,
7.25,88.5,
7.25,88.75,
7.25,89.0,
7.25,89.25,
7.25,89.5,
7.25,89.75,
7.25,90.0,
7.25,90.25,
7.25,90.5,
7.25,90.75,
7.25,91.0,
7.25,91.25,
7.25,91.5,
7.25,91.75,
7.25,92.0,
7.25,92.25,
7.25,92.5,
7.25,92.75,
7.25,93.0,
7.25,93.25,
7.25,93.5,
7.25,93.75,
7.25,94.0,
7.25,94.25,
7.25,94.5,
7.25,94.75,
7.25,95.0,
7.25,95.25,
7.25,95.5,
7.25,95.75,
7.25,96.0,
7.25,96.25,
7.25,96.5,
7.25,96.75,
7.25,97.0,
7.25,97.25,
7.25,97.5,
7.25,97.75,
7.25,98.0,
7.25,98.25,
7.25,98.5,
7.25,98.75,
7.25,99.0,
7.25,99.25,
7.25,99.5,
7.25,99.75,
7.25,100.0,
7.5,66.5,
7.5,66.75,
7.5,67.0,
7.5,67.25,
7.5,67.5,
7.5,67.75,
7.5,68.0,
7.5,68.25,
7.5,68.5,
7.5,68.75,
7.5,69.0,
7.5,69.25,
7.5,69.5,
7.5,69.75,
7.5,70.0,
7.5,70.25,
7.5,70.5,
7.5,70.75,
7.5,71.0,
7.5,71.25,
7.5,71.5,
7.5,71.75,
7.5,72.0,
7.5,72.25,
7.5,72.5,
7.5,72.75,
7.5,73.0,
7.5,73.25,
7.5,73.5,
7.5,73.75,
7.5,74.0,
7.5,74.25,
7.5,74.5,
7.5,74.75,
7.5,75.0,
7.5,75.25,
7.5,75.5,
7.5,75.75,
7.5,76.0,
7.5,76.25,
7.5,76.5,
7.5,76.75,
7.5,77.0,
7.5,77.25,
7.5,77.5,
7.5,77.75,
7.5,78.0,
7.5,78.25,
7.5,78.5,
7.5,78.75,
7.5,79.0,
7.5,79.25,
7.5,79.5,
7.5,79.75,
7.5,80.0,
7.5,80.25,
7.5,80.5,
7.5,80.75,
7.5,81.0,
7.5,81.25,
7.5,81.5,
7.5,81.75,
7.5,82.0,
7.5,82.25,
7.5,82.5,
7.5,82.75,
7.5,83.0,
7.5,83.25,
7.5,83.5,
7.5,83.75,
7.5,84.0,
7.5,84.25,
7.5,84.5,
7.5,84.75,
7.5,85.0,
7.5,85.25,
7.5,85.5,
7.5,85.75,
7.5,86.0,
7.5,86.25,
7.5,86.5,
7.5,86.75,
7.5,87.0,
7.5,87.25,
7.5,87.5,
7.5,87.75,
7.5,88.0,
7.5,88.25,
7.5,88.5,
7.5,88.75,
7.5,89.0,
7.5,89.25,
7.5,89.5,
7.5,89.75,
7.5,90.0,
7.5,90.25,
7.5,90.5,
7.5,90.75,
7.5,91.0,
7.5,91.25,
7.5,91.5,
7.5,91.75,
7.5,92.0,
7.5,92.25,
7.5,92.5,
7.5,92.75,
7.5,93.0,
7.5,93.25,
7.5,93.5,
7.5,93.75,
7.5,94.0,
7.5,94.25,
7.5,94.5,
7.5,94.75,
7.5,95.0,
7.5,95.25,
7.5,95.5,
7.5,95.75,
7.5,96.0,
7.5,96.25,
7.5,96.5,
7.5,96.75,
7.5,97.0,
7.5,97.25,
7.5,97.5,
7.5,97.75,
7.5,98.0,
7.5,98.25,
7.5,98.5,
7.5,98.75,
7.5,99.0,
7.5,99.25,
7.5,99.5,
7.5,99.75,
7.5,100.0,
7.75,66.5,
7.75,66.75,
7.75,67.0,
7.75,67.25,
7.75,67.5,
7.75,67.75,
7.75,68.0,
7.75,68.25,
7.75,68.5,
7.75,68.75,
7.75,69.0,
7.75,69.25,
7.75,69.5,
7.75,69.75,
7.75,70.0,
7.75,70.25,
7.75,70.5,
7.75,70.75,
7.75,71.0,
7.75,71.25,
7.75,71.5,
7.75,71.75,
7.75,72.0,
7.75,72.25,
7.75,72.5,
7.75,72.75,
7.75,73.0,
7.75,73.25,
7.75,73.5,
7.75,73.75,
7.75,74.0,
7.75,74.25,
7.75,74.5,
7.75,74.75,
7.75,75.0,
7.75,75.25,
7.75,75.5,
7.75,75.75,
7.75,76.0,
7.75,76.25,
7.75,76.5,
7.75,76.75,
7.75,77.0,
7.75,77.25,
7.75,77.5,
7.75,77.75,
7.75,78.0,
7.75,78.25,
7.75,78.5,
7.75,78.75,
7.75,79.0,
7.75,79.25,
7.75,79.5,
7.75,79.75,
7.75,80.0,
7.75,80.25,
7.75,80.5,
7.75,80.75,
7.75,81.0,
7.75,81.25,
7.75,81.5,
7.75,81.75,
7.75,82.0,
7.75,82.25,
7.75,82.5,
7.75,82.75,
7.75,83.0,
7.75,83.25,
7.75,83.5,
7.75,83.75,
7.75,84.0,
7.75,84.25,
7.75,84.5,
7.75,84.75,
7.75,85.0,
7.75,85.25,
7.75,85.5,
7.75,85.75,
7.75,86.0,
7.75,86.25,
7.75,86.5,
7.75,86.75,
7.75,87.0,
7.75,87.25,
7.75,87.5,
7.75,87.75,
7.75,88.0,
7.75,88.25,
7.75,88.5,
7.75,88.75,
7.75,89.0,
7.75,89.25,
7.75,89.5,
7.75,89.75,
7.75,90.0,
7.75,90.25,
7.75,90.5,
7.75,90.75,
7.75,91.0,
7.75,91.25,
7.75,91.5,
7.75,91.75,
7.75,92.0,
7.75,92.25,
7.75,92.5,
7.75,92.75,
7.75,93.0,
7.75,93.25,
7.75,93.5,
7.75,93.75,
7.75,94.0,
7.75,94.25,
7.75,94.5,
7.75,94.75,
7.75,95.0,
7.75,95.25,
7.75,95.5,
7.75,95.75,
7.75,96.0,
7.75,96.25,
7.75,96.5,
7.75,96.75,
7.75,97.0,
7.75,97.25,
7.75,97.5,
7.75,97.75,
7.75,98.0,
7.75,98.25,
7.75,98.5,
7.75,98.75,
7.75,99.0,
7.75,99.25,
7.75,99.5,
7.75,99.75,
7.75,100.0,
8.0,66.5,
8.0,66.75,
8.0,67.0,
8.0,67.25,
8.0,67.5,
8.0,67.75,
8.0,68.0,
8.0,68.25,
8.0,68.5,
8.0,68.75,
8.0,69.0,
8.0,69.25,
8.0,69.5,
8.0,69.75,
8.0,70.0,
8.0,70.25,
8.0,70.5,
8.0,70.75,
8.0,71.0,
8.0,71.25,
8.0,71.5,
8.0,71.75,
8.0,72.0,
8.0,72.25,
8.0,72.5,
8.0,72.75,
8.0,73.0,
8.0,73.25,
8.0,73.5,
8.0,73.75,
8.0,74.0,
8.0,74.25,
8.0,74.5,
8.0,74.75,
8.0,75.0,
8.0,75.25,
8.0,75.5,
8.0,75.75,
8.0,76.0,
8.0,76.25,
8.0,76.5,
8.0,76.75,
8.0,77.0,
8.0,77.25,
8.0,77.5,
8.0,77.75,
8.0,78.0,
8.0,78.25,
8.0,78.5,
8.0,78.75,
8.0,79.0,
8.0,79.25,
8.0,79.5,
8.0,79.75,
8.0,80.0,
8.0,80.25,
8.0,80.5,
8.0,80.75,
8.0,81.0,
8.0,81.25,
8.0,81.5,
8.0,81.75,
8.0,82.0,
8.0,82.25,
8.0,82.5,
8.0,82.75,
8.0,83.0,
8.0,83.25,
8.0,83.5,
8.0,83.75,
8.0,84.0,
8.0,84.25,
8.0,84.5,
8.0,84.75,
8.0,85.0,
8.0,85.25,
8.0,85.5,
8.0,85.75,
8.0,86.0,
8.0,86.25,
8.0,86.5,
8.0,86.75,
8.0,87.0,
8.0,87.25,
8.0,87.5,
8.0,87.75,
8.0,88.0,
8.0,88.25,
8.0,88.5,
8.0,88.75,
8.0,89.0,
8.0,89.25,
8.0,89.5,
8.0,89.75,
8.0,90.0,
8.0,90.25,
8.0,90.5,
8.0,90.75,
8.0,91.0,
8.0,91.25,
8.0,91.5,
8.0,91.75,
8.0,92.0,
8.0,92.25,
8.0,92.5,
8.0,92.75,
8.0,93.0,
8.0,93.25,
8.0,93.5,
8.0,93.75,
8.0,94.0,
8.0,94.25,
8.0,94.5,
8.0,94.75,
8.0,95.0,
8.0,95.25,
8.0,95.5,
8.0,95.75,
8.0,96.0,
8.0,96.25,
8.0,96.5,
8.0,96.75,
8.0,97.0,
8.0,97.25,
8.0,97.5,
8.0,97.75,
8.0,98.0,
8.0,98.25,
8.0,98.5,
8.0,98.75,
8.0,99.0,
8.0,99.25,
8.0,99.5,
8.0,99.75,
8.0,100.0,
8.25,66.5,
8.25,66.75,
8.25,67.0,
8.25,67.25,
8.25,67.5,
8.25,67.75,
8.25,68.0,
8.25,68.25,
8.25,68.5,
8.25,68.75,
8.25,69.0,
8.25,69.25,
8.25,69.5,
8.25,69.75,
8.25,70.0,
8.25,70.25,
8.25,70.5,
8.25,70.75,
8.25,71.0,
8.25,71.25,
8.25,71.5,
8.25,71.75,
8.25,72.0,
8.25,72.25,
8.25,72.5,
8.25,72.75,
8.25,73.0,
8.25,73.25,
8.25,73.5,
8.25,73.75,
8.25,74.0,
8.25,74.25,
8.25,74.5,
8.25,74.75,
8.25,75.0,
8.25,75.25,
8.25,75.5,
8.25,75.75,
8.25,76.0,
8.25,76.25,
8.25,76.5,
8.25,76.75,
8.25,77.0,0.0
8.25,77.25,0.0
8.25,77.5,1.9280646
8.25,77.75,5.112836
8.25,78.0,
8.25,78.25,
8.25,78.5,
8.25,78.75,
8.25,79.0,
8.25,79.25,
8.25,79.5,
8.25,79.75,
8.25,80.0,
8.25,80.25,
8.25,80.5,
8.25,80.75,
8.25,81.0,
8.25,81.25,
8.25,81.5,
8.25,81.75,
8.25,82.0,
8.25,82.25,
8.25,82.5,
8.25,82.75,
8.25,83.0,
8.25,83.25,
8.25,83.5,
8.25,83.75,
8.25,84.0,
8.25,84.25,
8.25,84.5,
8.25,84.75,
8.25,85.0,
8.25,85.25,
8.25,85.5,
8.25,85.75,
8.25,86.0,
8.25,86.25,
8.25,86.5,
8.25,86.75,
8.25,87.0,
8.25,87.25,
8.25,87.5,
8.25,87.75,
8.25,88.0,
8.25,88.25,
8.25,88.5,
8.25,88.75,
8.25,89.0,
8.25,89.25,
8.25,89.5,
8.25,89.75,
8.25,90.0,
8.25,90.25,
8.25,90.5,
8.25,90.75,
8.25,91.0,
8.25,91.25,
8.25,91.5,
8.25,91.75,
8.25,92.0,
8.25,92.25,
8.25,92.5,
8.25,92.75,
8.25,93.0,
8.25,93.25,
8.25,93.5,
8.25,93.75,
8.25,94.0,
8.25,94.25,
8.25,94.5,
8.25,94.75,
8.25,95.0,
8.25,95.25,
8.25,95.5,
8.25,95.75,
8.25,96.0,
8.25,96.25,
8.25,96.5,
8.25,96.75,
8.25,97.0,
8.25,97.25,
8.25,97.5,
8.25,97.75,
8.25,98.0,
8.25,98.25,
8.25,98.5,
8.25,98.75,
8.25,99.0,
8.25,99.25,
8.25,99.5,
8.25,99.75,
8.25,100.0,
8.5,66.5,
8.5,66.75,
8.5,67.0,
8.5,67.25,
8.5,67.5,
8.5,67.75,
8.5,68.0,
8.5,68.25,
8.5,68.5,
8.5,68.75,
8.5,69.0,
8.5,69.25,
8.5,69.5,
8.5,69.75,
8.5,70.0,
8.5,70.25,
8.5,70.5,
8.5,70.75,
8.5,71.0,
8.5,71.25,
8.5,71.5,
8.5,71.75,
8.5,72.0,
8.5,72.25,
8.5,72.5,
8.5,72.75,
8.5,73.0,
8.5,73.25,
8.5,73.5,
8.5,73.75,
8.5,74.0,
8.5,74.25,
8.5,74.5,
8.5,74.75,
8.5,75.0,
8.5,75.25,
8.5,75.5,
8.5,75.75,
8.5,76.0,
8.5,76.25,
8.5,76.5,
8.5,76.75,0.0
8.5,77.0,0.0
8.5,77.25,5.433482
8.5,77.5,10.897713
8.5,77.75,5.8634105
8.5,78.0,11.767226
8.5,78.25,
8.5,78.5,
8.5,78.75,
8.5,79.0,
8.5,79.25,
8.5,79.5,
8.5,79.75,
8.5,80.0,
8.5,80.25,
8.5,80.5,
8.5,80.75,
8.5,81.0,
8.5,81.25,
8.5,81.5,
8.5,81.75,
8.5,82.0,
8.5,82.25,
8.5,82.5,
8.5,82.75,
8.5,83.0,
8.5,83.25,
8.5,83.5,
8.5,83.75,
8.5,84.0,
8.5,84.25,
8.5,84.5,
8.5,84.75,
8.5,85.0,
8.5,85.25,
8.5,85.5,
8.5,85.75,
8.5,86.0,
8.5,86.25,
8.5,86.5,
8.5,86.75,
8.5,87.0,
8.5,87.25,
8.5,87.5,
8.5,87.75,
8.5,88.0,
8.5,88.25,
8.5,88.5,
8.5,88.75,
8.5,89.0,
8.5,89.25,
8.5,89.5,
8.5,89.75,
8.5,90.0,
8.5,90.25,
8.5,90.5,
8.5,90.75,
8.5,91.0,
8.5,91.25,
8.5,91.5,
8.5,91.75,
8.5,92.0,
8.5,92.25,
8.5,92.5,
8.5,92.75,
8.5,93.0,
8.5,93.25,
8.5,93.5,
8.5,93.75,
8.5,94.0,
8.5,94.25,
8.5,94.5,
8.5,94.75,
8.5,95.0,
8.5,95.25,
8.5,95.5,
8.5,95.75,
8.5,96.0,
8.5,96.25,
8.5,96.5,
8.5,96.75,
8.5,97.0,
8.5,97.25,
8.5,97.5,
8.5,97.75,
8.5,98.0,
8.5,98.25,
8.5,98.5,
8.5,98.75,
8.5,99.0,
8.5,99.25,
8.5,99.5,
8.5,99.75,
8.5,100.0,
8.75,66.5,
8.75,66.75,
8.75,67.0,
8.75,67.25,
8.75,67.5,
8.75,67.75,
8.75,68.0,
8.75,68.25,
8.75,68.5,
8.75,68.75,
8.75,69.0,
8.75,69.25,
8.75,69.5,
8.75,69.75,
8.75,70.0,
8.75,70.25,
8.75,70.5,
8.75,70.75,
8.75,71.0,
8.75,71.25,
8.75,71.5,
8.75,71.75,
8.75,72.0,
8.75,72.25,
8.75,72.5,
8.75,72.75,
8.75,73.0,
8.75,73.25,
8.75,73.5,
8.75,73.75,
8.75,74.0,
8.75,74.25,
8.75,74.5,
8.75,74.75,
8.75,75.0,
8.75,75.25,
8.75,75.5,
8.75,75.75,
8.75,76.0,
8.75,76.25,
8.75,76.5,0.0
8.75,76.75,0.0
8.75,77.0,1.6709516
8.75,77.25,8.098194
8.75,77.5,6.990547
8.75,77.75,17.602903
8.75,78.0,2.5986235
8.75,78.25,
8.75,78.5,
8.75,78.75,
8.75,79.0,
8.75,79.25,
8.75,79.5,
8.75,79.75,
8.75,80.0,
8.75,80.25,
8.75,80.5,
8.75,80.75,
8.75,81.0,
8.75,81.25,
8.75,81.5,
8.75,81.75,
8.75,82.0,
8.75,82.25,
8.75,82.5,
8.75,82.75,
8.75,83.0,
8.75,83.25,
8.75,83.5,
8.75,83.75,
8.75,84.0,
8.75,84.25,
8.75,84.5,
8.75,84.75,
8.75,85.0,
8.75,85.25,
8.75,85.5,
8.75,85.75,
8.75,86.0,
8.75,86.25,
8.75,86.5,
8.75,86.75,
8.75,87.0,
8.75,87.25,
8.75,87.5,
8.75,87.75,
8.75,88.0,
8.75,88.25,
8.75,88.5,
8.75,88.75,
8.75,89.0,
8.75,89.25,
8.75,89.5,
8.75,89.75,
8.75,90.0,
8.75,90.25,
8.75,90.5,
8.75,90.75,
8.75,91.0,
8.75,91.25,
8.75,91.5,
8.75,91.75,
8.75,92.0,
8.75,92.25,
8.75,92.5,
8.75,92.75,
8.75,93.0,
8.75,93.25,
8.75,93.5,
8.75,93.75,
8.75,94.0,
8.75,94.25,
8.75,94.5,
8.75,94.75,
8.75,95.0,
8.75,95.25,
8.75,95.5,
8.75,95.75,
8.75,96.0,
8.75,96.25,
8.75,96.5,
8.75,96.75,
8.75,97.0,
8.75,97.25,
8.75,97.5,
8.75,97.75,
8.75,98.0,
8.75,98.25,
8.75,98.5,
8.75,98.75,
8.75,99.0,
8.75,99.25,
8.75,99.5,
8.75,99.75,
8.75,100.0,
9.0,66.5,
9.0,66.75,
9.0,67.0,
9.0,67.25,
9.0,67.5,
9.0,67.75,
9.0,68.0,
9.0,68.25,
9.0,68.5,
9.0,68.75,
9.0,69.0,
9.0,69.25,
9.0,69.5,
9.0,69.75,
9.0,70.0,
9.0,70.25,
9.0,70.5,
9.0,70.75,
9.0,71.0,
9.0,71.25,
9.0,71.5,
9.0,71.75,
9.0,72.0,
9.0,72.25,
9.0,72.5,
9.0,72.75,
9.0,73.0,
9.0,73.25,
9.0,73.5,
9.0,73.75,
9.0,74.0,
9.0,74.25,
9.0,74.5,
9.0,74.75,
9.0,75.0,
9.0,75.25,
9.0,75.5,
9.0,75.75,
9.0,76.0,
9.0,76.25,
9.0,76.5,0.0
9.0,76.75,0.0
9.0,77.0,0.10278043
9.0,77.25,0.41472638
9.0,77.5,0.0
9.0,77.75,3.1574023
9.0,78.0,3.2204018
9.0,78.25,
9.0,78.5,
9.0,78.75,
9.0,79.0,
9.0,79.25,
9.0,79.5,
9.0,79.75,
9.0,80.0,
9.0,80.25,
9.0,80.5,
9.0,80.75,
9.0,81.0,
9.0,81.25,
9.0,81.5,
9.0,81.75,
9.0,82.0,
9.0,82.25,
9.0,82.5,
9.0,82.75,
9.0,83.0,
9.0,83.25,
9.0,83.5,
9.0,83.75,
9.0,84.0,
9.0,84.25,
9.0,84.5,
9.0,84.75,
9.0,85.0,
9.0,85.25,
9.0,85.5,
9.0,85.75,
9.0,86.0,
9.0,86.25,
9.0,86.5,
9.0,86.75,
9.0,87.0,
9.0,87.25,
9.0,87.5,
9.0,87.75,
9.0,88.0,
9.0,88.25,
9.0,88.5,
9.0,88.75,
9.0,89.0,
9.0,89.25,
9.0,89.5,
9.0,89.75,
9.0,90.0,
9.0,90.25,
9.0,90.5,
9.0,90.75,
9.0,91.0,
9.0,91.25,
9.0,91.5,
9.0,91.75,
9.0,92.0,
9.0,92.25,
9.0,92.5,
9.0,92.75,
9.0,93.0,
9.0,93.25,
9.0,93.5,
9.0,93.75,
9.0,94.0,
9.0,94.25,
9.0,94.5,
9.0,94.75,
9.0,95.0,
9.0,95.25,
9.0,95.5,
9.0,95.75,
9.0,96.0,
9.0,96.25,
9.0,96.5,
9.0,96.75,
9.0,97.0,
9.0,97.25,
9.0,97.5,
9.0,97.75,
9.0,98.0,
9.0,98.25,
9.0,98.5,
9.0,98.75,
9.0,99.0,
9.0,99.25,
9.0,99.5,
9.0,99.75,
9.0,100.0,
9.25,66.5,
9.25,66.75,
9.25,67.0,
9.25,67.25,
9.25,67.5,
9.25,67.75,
9.25,68.0,
9.25,68.25,
9.25,68.5,
9.25,68.75,
9.25,69.0,
9.25,69.25,
9.25,69.5,
9.25,69.75,
9.25,70.0,
9.25,70.25,
9.25,70.5,
9.25,70.75,
9.25,71.0,
9.25,71.25,
9.25,71.5,
9.25,71.75,
9.25,72.0,
9.25,72.25,
9.25,72.5,
9.25,72.75,
9.25,73.0,
9.25,73.25,
9.25,73.5,
9.25,73.75,
9.25,74.0,
9.25,74.25,
9.25,74.5,
9.25,74.75,
9.25,75.0,
9.25,75.25,
9.25,75.5,
9.25,75.75,
9.25,76.0,
9.25,76.25,0.0
9.25,76.5,0.0
9.25,76.75,0.0
9.25,77.0,0.33731174
9.25,77.25,0.0
9.25,77.5,0.0
9.25,77.75,1.6727471
9.25,78.0,0.0
9.25,78.25,2.046494
9.25,78.5,4.8432603
9.25,78.75,2.6103523
9.25,79.0,
